Idol Type,Size,Affix Type,Content Tag,Affix,Stripped Affix,Range,,,,,,
Noble Idol,2x1,Suffix,Rogue Exiles,Rogue Exiles in your Maps have (15–20)% chance to drop an additional Currency Item,Rogue Exiles in your Maps have #% chance to drop an additional Currency Item,15–20,,,,,,
Noble Idol,2x1,Suffix,Bestiary,Your Maps that contain capturable Beasts have (12–18)% chance to contain an additional Red Beast,Your Maps that contain capturable Beasts have #% chance to contain an additional Red Beast,12–18,,,,,,
Noble Idol,2x1,Suffix,Bestiary,Einhar deals (600–800)% more Damage to Unique Monsters in your Maps,Einhar deals #% more Damage to Unique Monsters in your Maps,600–800,,,,,,
Noble Idol,2x1,Suffix,Bestiary,Einhar has (60–80)% increased Cooldown Recovery Rate in your Maps,Einhar has #% increased Cooldown Recovery Rate in your Maps,60–80,,,,,,
Noble Idol,2x1,Suffix,Beyond,Beyond Portals in your Maps have (20–25)% increased Merging Radius,Beyond Portals in your Maps have #% increased Merging Radius,20–25,,,,,,
Noble Idol,2x1,Suffix,Beyond,(10–15)% increased Quantity of Tainted Currency dropped by Beyond Demons in your Maps,#% increased Quantity of Tainted Currency dropped by Beyond Demons in your Maps,10–15,,,,,,
Noble Idol,2x1,Suffix,Blight,Lanes of Blight Encounters in your Maps have (6–8)% chance for an additional Reward Chest,Lanes of Blight Encounters in your Maps have #% chance for an additional Reward Chest,6–8,,,,,,
Noble Idol,2x1,Suffix,Blight,(15–25)% chance for Blight Chests to contain an additional Reward,#% chance for Blight Chests to contain an additional Reward,15–25,,,,,,
Noble Idol,2x1,Suffix,Blight,Blight Bosses in your Maps have (14–18)% chance to add an additional Reward Chest when Defeated,Blight Bosses in your Maps have #% chance to add an additional Reward Chest when Defeated,14–18,,,,,,
Noble Idol,2x1,Suffix,Blight,Blighted Chests in your Maps have (25–35)% increased chance to contain an Oil,Blighted Chests in your Maps have #% increased chance to contain an Oil,25–35,,,,,,
Noble Idol,2x1,Suffix,Blight,Blight Monsters in your Maps spawn (40–60)% faster,Blight Monsters in your Maps spawn #% faster,40–60,,,,,,
Noble Idol,2x1,Suffix,Breach,Breach Bosses in your Maps have (12–16)% chance to drop double Breach Splinters,Breach Bosses in your Maps have #% chance to drop double Breach Splinters,12–16,,,,,,
Noble Idol,2x1,Suffix,Breach,(20–25)% increased Quantity of Breach Splinters found in Breach Hands in your Maps,#% increased Quantity of Breach Splinters found in Breach Hands in your Maps,20–25,,,,,,
Noble Idol,2x1,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Xoph,Breaches in your Maps have #% increased chance to belong to Xoph,80–120,,,,,,
Noble Idol,2x1,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Tul,Breaches in your Maps have #% increased chance to belong to Tul,80–120,,,,,,
Noble Idol,2x1,Suffix,Breach,Breaches in your Maps have (80–120)% increased chance to belong to Esh,Breaches in your Maps have #% increased chance to belong to Esh,80–120,,,,,,
Noble Idol,2x1,Suffix,Breach,Breaches in your Maps have (70–100)% increased chance to belong to Uul-Netol,Breaches in your Maps have #% increased chance to belong to Uul-Netol,70–100,,,,,,
Noble Idol,2x1,Suffix,Breach,Breaches in your Maps have (60–80)% increased chance to belong to Chayula,Breaches in your Maps have #% increased chance to belong to Chayula,60–80,,,,,,
Noble Idol,2x1,Suffix,Breach,(20–25)% increased Quantity of Breach Splinters dropped by Breach Monsters in your Maps,#% increased Quantity of Breach Splinters dropped by Breach Monsters in your Maps,20–25,,,,,,
Noble Idol,2x1,Suffix,Breach,Breach Monsters in your Maps have (3–7)% increased chance to drop a Breach Unique Item,Breach Monsters in your Maps have #% increased chance to drop a Breach Unique Item,3–7,,,,,,
Noble Idol,2x1,Suffix,Exarch,Monsters Influenced by The Searing Exarch in your Maps have (0.5–0.7)% chance to drop an Item with a Searing Exarch Implicit Modifier,Monsters Influenced by The Searing Exarch in your Maps have #% chance to drop an Item with a Searing Exarch Implicit Modifier,0.5-0.7,,,,,,
Noble Idol,2x1,Suffix,Monster Pack,Monster Packs Influenced by Conquerors in your Maps have (8–12)% increased Pack Size,Monster Packs Influenced by Conquerors in your Maps have #% increased Pack Size,8–12,,,,,,
Noble Idol,2x1,Suffix,Delirium,Delirium Fog in your Maps dissipates (2–5)% slower,Delirium Fog in your Maps dissipates #% slower,2–5,,,,,,
Noble Idol,2x1,Suffix,Delirium,Delirium Bosses in your Maps have (30–40)% increased chance to drop Unique Cluster Jewels,Delirium Bosses in your Maps have #% increased chance to drop Unique Cluster Jewels,30–40,,,,,,
Noble Idol,2x1,Suffix,Delirium,Delirium Monsters in your Maps have (15–25)% increased chance to drop Cluster Jewels,Delirium Monsters in your Maps have #% increased chance to drop Cluster Jewels,15–25,,,,,,
Noble Idol,2x1,Suffix,Delirium,Cluster Jewels from Delirium Rewards have a (6–8)% chance to be Rare and Corrupted,Cluster Jewels from Delirium Rewards have a #% chance to be Rare and Corrupted,6–8,,,,,,
Noble Idol,2x1,Suffix,Delve,Voltaxic Sulphite Veins and Chests in your Maps contain (8–10)% increased Sulphite,Voltaxic Sulphite Veins and Chests in your Maps contain #% increased Sulphite,8–10,,,,,,
Noble Idol,2x1,Suffix,Delve,You Gain (8–12)% increased Movement Speed per stack of Sulphite Intoxication.,You Gain #% increased Movement Speed per stack of Sulphite Intoxication.,8–12,,,,,,
Noble Idol,2x1,Suffix,Shrine,(25–35)% increased Effect of Shrine Buffs on Players in your Maps,#% increased Effect of Shrine Buffs on Players in your Maps,25–35,,,,,,
Noble Idol,2x1,Suffix,Essence,Monsters Imprisoned by Essences have a (20–25)% chance to contain a Remnant of Corruption,Monsters Imprisoned by Essences have a #% chance to contain a Remnant of Corruption,20–25,,,,,,
Noble Idol,2x1,Suffix,Expedition,(10–15)% increased quantity of Artifacts dropped by Monsters,#% increased quantity of Artifacts dropped by Monsters,10–15,,,,,,
Noble Idol,2x1,Suffix,Expedition,(6–10)% increased number of Explosives in your Maps,#% increased number of Explosives in your Maps,6–10,,,,,,
Noble Idol,2x1,Suffix,Expedition,(15–20)% increased Quantity of Vendor Refresh Currencies dropped by Monsters in your Maps,#% increased Quantity of Vendor Refresh Currencies dropped by Monsters in your Maps,15–20,,,,,,
Noble Idol,2x1,Suffix,Expedition,Expedition Detonation Chains in your Maps travel (12–18)% slower,Expedition Detonation Chains in your Maps travel #% slower,12–18,,,,,,
Noble Idol,2x1,Suffix,Harbinger,Harbingers in your Maps have (40–60)% chance to drop an additional Stack of Currency Shards,Harbingers in your Maps have #% chance to drop an additional Stack of Currency Shards,40–60,,,,,,
Noble Idol,2x1,Suffix,Harvest,Harvest Crops in your Maps have (35–45)% increased chance to contain a Tier 4 Plant,Harvest Crops in your Maps have #% increased chance to contain a Tier 4 Plant,35–45,,,,,,
Noble Idol,2x1,Suffix,Harvest,Harvest Crops in your Maps have (25–35)% increased chance to contain Tier 3 Plants,Harvest Crops in your Maps have #% increased chance to contain Tier 3 Plants,25–35,,,,,,
Noble Idol,2x1,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 3 Jobs,Heist Contracts found in your Maps are #% more likely to require level 3 Jobs,75–125,,,,,,
Noble Idol,2x1,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 4 Jobs,Heist Contracts found in your Maps are #% more likely to require level 4 Jobs,75–125,,,,,,
Noble Idol,2x1,Suffix,Heist,Heist Contracts found in your Maps are (75–125)% more likely to require level 5 Jobs,Heist Contracts found in your Maps are #% more likely to require level 5 Jobs,75–125,,,,,,
Noble Idol,2x1,Suffix,Heist,Your Maps that contain Smuggler's Caches have a (25–35)% chance to contain an additional Smuggler's Cache,Your Maps that contain Smuggler's Caches have a #% chance to contain an additional Smuggler's Cache,25–35,,,,,,
Noble Idol,2x1,Suffix,Betrayal,Immortal Syndicate Members in your Maps are (120–160)% more likely to offer to Bargain for Items,Immortal Syndicate Members in your Maps are #% more likely to offer to Bargain for Items,120–160,,,,,,
Noble Idol,2x1,Suffix,Betrayal,(16–24)% increased Rarity of items from Defeated Syndicate Members in your Maps per Equipment Item they have,#% increased Rarity of items from Defeated Syndicate Members in your Maps per Equipment Item they have,16–24,,,,,,
Noble Idol,2x1,Suffix,Legion,(100–150)% increased Rarity of Items Dropped by Legion Sergeants in your Maps,#% increased Rarity of Items Dropped by Legion Sergeants in your Maps,100–150,,,,,,
Noble Idol,2x1,Suffix,Legion,Legion Encounters in your Maps have (40–60)% increased Duration,Legion Encounters in your Maps have #% increased Duration,40–60,,,,,,
Noble Idol,2x1,Suffix,Legion,Legion Monsters in your Maps take (30–40)% increased Damage while in Stasis,Legion Monsters in your Maps take #% increased Damage while in Stasis,30–40,,,,,,
Noble Idol,2x1,Suffix,Legion,Legion Monsters in your Maps have (10–15)% increased Pack Size,Legion Monsters in your Maps have #% increased Pack Size,10–15,,,,,,
Noble Idol,2x1,Suffix,Ultimatum,Ultimatum Altars in your Maps have (30–40)% increased Life,Ultimatum Altars in your Maps have #% increased Life,30–40,,,,,,
Noble Idol,2x1,Suffix,Ultimatum,Ultimatum Stone Circles in your Maps have (15–20)% increased radius,Ultimatum Stone Circles in your Maps have #% increased radius,15–20,,,,,,
Noble Idol,2x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (25–35)% increased chance to be Inscribed Ultimatums,Ultimatum Rewards in your Maps have #% increased chance to be Inscribed Ultimatums,25–35,,,,,,
Noble Idol,2x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps only requiring you to Survive have (3–5)% reduced duration,Ultimatum Encounters in your Maps only requiring you to Survive have #% reduced duration,3–5,,,,,,
Noble Idol,2x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps requiring you to Defeat waves of Enemies require killing (3–5)% reduced number of Enemies,Ultimatum Encounters in your Maps requiring you to Defeat waves of Enemies require killing #% reduced number of Enemies,3–5,,,,,,
Noble Idol,2x1,Suffix,Ritual,(50–75)% increased chance of Ritual Altars with Special Rewards,#% increased chance of Ritual Altars with Special Rewards,50–75,,,,,,
Noble Idol,2x1,Suffix,Ritual,Favours Rerolled at Ritual Altars in your Maps have (0.8–1.2)% chance to cost no Tribute,Favours Rerolled at Ritual Altars in your Maps have #% chance to cost no Tribute,0.8-1.2,,,,,,
Noble Idol,2x1,Suffix,Ritual,Ritual Altars in your Maps can have (15–25)% increased number of Spawned Monsters at once,Ritual Altars in your Maps can have #% increased number of Spawned Monsters at once,15–25,,,,,,
Noble Idol,2x1,Suffix,Ritual,Ritual Splinters offered at Ritual Altars in your Maps have (20–25)% increased Stack Size,Ritual Splinters offered at Ritual Altars in your Maps have #% increased Stack Size,20–25,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Cartography Scarabs,Scarabs dropped in your Maps are #% more likely to be Cartography Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs found in your Maps are (60–80)% more likely to be Ambush Scarabs,Scarabs found in your Maps are #% more likely to be Ambush Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Titanic Scarabs,Scarabs dropped in your Maps are #% more likely to be Titanic Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Harbinger Scarabs,Scarabs dropped in your Maps are #% more likely to be Harbinger Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Beyond Scarabs,Scarabs dropped in your Maps are #% more likely to be Beyond Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Essence Scarabs,Scarabs dropped in your Maps are #% more likely to be Essence Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Torment Scarabs,Scarabs dropped in your Maps are #% more likely to be Torment Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Domination Scarabs,Scarabs dropped in your Maps are #% more likely to be Domination Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Scarabs,Scarabs dropped in your Maps are (60–80)% more likely to be Anarchy Scarabs,Scarabs dropped in your Maps are #% more likely to be Anarchy Scarabs,60–80,,,,,,
Noble Idol,2x1,Suffix,Strongboxes,Strongboxes in your Maps have (40–60)% chance to be guarded by an additional Pack of Monsters,Strongboxes in your Maps have #% chance to be guarded by an additional Pack of Monsters,40–60,,,,,,
Noble Idol,2x1,Suffix,Strongboxes,(15–20)% increased Quantity of Items contained in Strongboxes in your Maps,#% increased Quantity of Items contained in Strongboxes in your Maps,15–20,,,,,,
Noble Idol,2x1,Suffix,Torment,Tormented Spirits have a (1–2)% chance to be set free when Possessed Monsters are slain,Tormented Spirits have a #% chance to be set free when Possessed Monsters are slain,1–2,,,,,,
Burial Idol,3x1,Prefix,Abyss,Your Maps have +(40–60)% chance to contain an Abyss,Your Maps have +#% chance to contain an Abyss,40–60,,,,,,
Burial Idol,3x1,Prefix,Abyss,Your Maps have (192–240)% increased chance to contain an Abyss,Your Maps have #% increased chance to contain an Abyss,192–240,,,,,,
Burial Idol,3x1,Prefix,Incursion,Your Maps have +(40–60)% chance to contain Alva,Your Maps have +#% chance to contain Alva,40–60,,,,,,
Burial Idol,3x1,Prefix,Incursion,Your Maps have (192–240)% increased chance to contain Alva,Your Maps have #% increased chance to contain Alva,192–240,,,,,,
Burial Idol,3x1,Prefix,Rogue Exiles,Your Maps have a (40–60)% chance to contain an additional Rogue Exile,Your Maps have a #% chance to contain an additional Rogue Exile,40–60,,,,,,
Burial Idol,3x1,Prefix,Rogue Exiles,Your Maps have +(15–25)% chance to contain a Rogue Exile,Your Maps have +#% chance to contain a Rogue Exile,15–25,,,,,,
Burial Idol,3x1,Prefix,Bestiary,Your Maps have +(40–60)% chance to contain Einhar,Your Maps have +#% chance to contain Einhar,40–60,,,,,,
Burial Idol,3x1,Prefix,Bestiary,Your Maps have (192–240)% increased chance to contain Einhar,Your Maps have #% increased chance to contain Einhar,192–240,,,,,,
Burial Idol,3x1,Prefix,Beyond,(40–60)% chance for your Maps to attract Beyond Demons,#% chance for your Maps to attract Beyond Demons,40–60,,,,,,
Burial Idol,3x1,Prefix,Blight,Your Maps have +(40–60)% chance to contain a Blight Encounter,Your Maps have +#% chance to contain a Blight Encounter,40–60,,,,,,
Burial Idol,3x1,Prefix,Blight,Your Maps have (192–240)% increased chance to contain a Blight Encounter,Your Maps have #% increased chance to contain a Blight Encounter,192–240,,,,,,
Burial Idol,3x1,Prefix,Breach,Your Maps have +(40–60)% chance to contain Breaches,Your Maps have +#% chance to contain Breaches,40–60,,,,,,
Burial Idol,3x1,Prefix,Breach,Your Maps have (192–240)% increased chance to contain a Breach,Your Maps have #% increased chance to contain a Breach,192–240,,,,,,
Burial Idol,3x1,Prefix,Breach,Your Maps which contain Breaches have (5–10)% chance to contain three additional Breaches,Your Maps which contain Breaches have #% chance to contain three additional Breaches,5–10,,,,,,
Burial Idol,3x1,Prefix,Delirium,Your Maps have +(40–60)% chance to contain a Mirror of Delirium,Your Maps have +#% chance to contain a Mirror of Delirium,40–60,,,,,,
Burial Idol,3x1,Prefix,Delirium,Your Maps have (192–240)% increased chance to contain a Mirror of Delirium,Your Maps have #% increased chance to contain a Mirror of Delirium,192–240,,,,,,
Burial Idol,3x1,Prefix,Delve,Your Maps have +(40–60)% chance to contain Niko,Your Maps have +#% chance to contain Niko,40–60,,,,,,
Burial Idol,3x1,Prefix,Delve,Your Maps have (192–240)% increased chance to contain Niko,Your Maps have #% increased chance to contain Niko,192–240,,,,,,
Burial Idol,3x1,Prefix,Shrine,Your Maps contain an additional Shrine,Your Maps contain an additional Shrine,100,,,,,,
Burial Idol,3x1,Prefix,Shrine,Your Maps have +(15–25)% chance to contain a Shrine,Your Maps have +#% chance to contain a Shrine,15–25,,,,,,
Burial Idol,3x1,Prefix,Essence,Your Maps contain an additional Imprisoned Monster,Your Maps contain an additional Imprisoned Monster,100,,,,,,
Burial Idol,3x1,Prefix,Essence,Your Maps have +(15–25)% chance to contain an Imprisoned Monster,Your Maps have +#% chance to contain an Imprisoned Monster,15–25,,,,,,
Burial Idol,3x1,Prefix,Expedition,Your Maps have +(40–60)% chance to contain an Expedition Encounter,Your Maps have +#% chance to contain an Expedition Encounter,40–60,,,,,,
Burial Idol,3x1,Prefix,Expedition,Your Maps have (192–240)% increased chance to contain an Expedition Encounter,Your Maps have #% increased chance to contain an Expedition Encounter,192–240,,,,,,
Burial Idol,3x1,Prefix,Harbinger,Your Maps contain an additional Harbinger,Your Maps contain an additional Harbinger,100,,,,,,
Burial Idol,3x1,Prefix,Harbinger,Your Maps have a (15–25)% chance to contain an additional Harbinger,Your Maps have a #% chance to contain an additional Harbinger,15–25,,,,,,
Burial Idol,3x1,Prefix,Harvest,Your Maps have +(40–60)% chance to contain The Sacred Grove,Your Maps have +#% chance to contain The Sacred Grove,40–60,,,,,,
Burial Idol,3x1,Prefix,Harvest,Your Maps have (192–240)% increased chance to contain The Sacred Grove,Your Maps have #% increased chance to contain The Sacred Grove,192–240,,,,,,
Burial Idol,3x1,Prefix,Heist,Your Maps have +(40–60)% chance to contain a Smuggler's Cache,Your Maps have +#% chance to contain a Smuggler's Cache,40–60,,,,,,
Burial Idol,3x1,Prefix,Heist,Your Maps have (192–240)% increased chance to contain a Smuggler's Cache,Your Maps have #% increased chance to contain a Smuggler's Cache,192–240,,,,,,
Burial Idol,3x1,Prefix,Betrayal,Your Maps have +(40–60)% chance to contain Jun,Your Maps have +#% chance to contain Jun,40–60,,,,,,
Burial Idol,3x1,Prefix,Betrayal,Your Maps have (192–240)% increased chance to contain Jun,Your Maps have #% increased chance to contain Jun,192–240,,,,,,
Burial Idol,3x1,Prefix,Trials,Your Maps have +(8–12)% chance to contain a Trial of Ascendancy,Your Maps have +#% chance to contain a Trial of Ascendancy,8–12,,,,,,
Burial Idol,3x1,Prefix,Legion,Your Maps have +(40–60)% chance to contain a Legion Encounter,Your Maps have +#% chance to contain a Legion Encounter,40–60,,,,,,
Burial Idol,3x1,Prefix,Legion,Your Maps have (192–240)% increased chance to contain a Legion Encounter,Your Maps have #% increased chance to contain a Legion Encounter,192–240,,,,,,
Burial Idol,3x1,Prefix,Maps,Final Map Boss in each Map has (4–6)% chance to drop an additional connected Map,Final Map Boss in each Map has #% chance to drop an additional connected Map,4–6,,,,,,
Burial Idol,3x1,Prefix,Ultimatmum,Your Maps have (192–240)% increased chance to contain an Ultimatum Encounter,Your Maps have #% increased chance to contain an Ultimatum Encounter,192–240,,,,,,
Burial Idol,3x1,Prefix,Ultimatmum,Your Maps have +(40–60)% chance to contain an Ultimatum Encounter,Your Maps have +#% chance to contain an Ultimatum Encounter,40–60,,,,,,
Burial Idol,3x1,Prefix,Ritual,Your Maps have +(40–60)% chance to contain Ritual Altars,Your Maps have +#% chance to contain Ritual Altars,40–60,,,,,,
Burial Idol,3x1,Prefix,Ritual,Your Maps have (192–240)% increased chance to contain Ritual Altars,Your Maps have #% increased chance to contain Ritual Altars,192–240,,,,,,
Burial Idol,3x1,Prefix,Maps,(8–12)% increased effect of Explicit Modifiers on your Maps,#% increased effect of Explicit Modifiers on your Maps,8–12,,,,,,
Burial Idol,3x1,Prefix,Strongboxes,Your Maps contain an additional Strongbox,Your Maps contain an additional Strongbox,100,,,,,,
Burial Idol,3x1,Prefix,Strongboxes,Your Maps have +(15–25)% chance to contain a Strongbox,Your Maps have +#% chance to contain a Strongbox,15–25,,,,,,
Burial Idol,3x1,Prefix,Torment,Your Maps have +(15–25)% chance to be haunted by a Tormented Spirit,Your Maps have +#% chance to be haunted by a Tormented Spirit,15–25,,,,,,
Burial Idol,3x1,Prefix,Torment,Up to 5 Rare Monsters in each of your Maps are Possessed and their Minions are Touched,Up to 5 Rare Monsters in each of your Maps are Possessed and their Minions are Touched,100,,,,,,
Burial Idol,3x1,Prefix,Torment,Your Maps are haunted by an additional Tormented Spirit,Your Maps are haunted by an additional Tormented Spirit,100,,,,,,
Burial Idol,3x1,Prefix,Maps,Your Maps have (5–8)% chance to grant an additional Kirac Mission on Completion,Your Maps have #% chance to grant an additional Kirac Mission on Completion,5–8,,,,,,
Burial Idol,3x1,Prefix,Maps,Your Maps have (2–2.5)% chance to grant an additional Kirac Mission on Completion,Your Maps have #% chance to grant an additional Kirac Mission on Completion,2-2.5,,,,,,
Burial Idol,3x1,Prefix,Maps,(12–16)% increased Rarity of Items found in your Maps,#% increased Rarity of Items found in your Maps,12–16,,,,,,
Burial Idol,3x1,Suffix,Abyss,Abysses in your Maps that do not lead to an Abyssal Depths have (40–60)% increased chance to lead to a Stygian Spire,Abysses in your Maps that do not lead to an Abyssal Depths have #% increased chance to lead to a Stygian Spire,40–60,,,,,,
Burial Idol,3x1,Suffix,Abyss,Abysses in your Maps have (40–60)% increased chance to lead to an Abyssal Depths,Abysses in your Maps have #% increased chance to lead to an Abyssal Depths,40–60,,,,,,
Burial Idol,3x1,Suffix,Abyss,Abyss Cracks in your Maps have (10–20)% chance to spawn all Monsters as at least Magic,Abyss Cracks in your Maps have #% chance to spawn all Monsters as at least Magic,10–20,,,,,,
Burial Idol,3x1,Suffix,Abyss,Abyss Pits in your Maps have (10–20)% chance to spawn all Monsters as at least Magic,Abyss Pits in your Maps have #% chance to spawn all Monsters as at least Magic,10–20,,,,,,
Burial Idol,3x1,Suffix,Incursion,Killing non-resident Architects in your Maps has (30–50)% chance to add an additional Upgrade Tier to the surviving Architect's Room,Killing non-resident Architects in your Maps has #% chance to add an additional Upgrade Tier to the surviving Architect's Room,30–50,,,,,,
Burial Idol,3x1,Suffix,Rogue Exiles,Wild Rogue Exiles in your Maps have (75–100)% chance to be Possessed by a Tormented Spirit,Wild Rogue Exiles in your Maps have #% chance to be Possessed by a Tormented Spirit,75–100,,,,,,
Burial Idol,3x1,Suffix,Bestiary,Your Maps that contain capturable Beasts contain (3–4) additional Yellow Beasts,Your Maps that contain capturable Beasts contain # additional Yellow Beasts,3–4,,,,a,,Your Maps that contain capturable Beasts contain # additional Yellow Beasts
Burial Idol,3x1,Suffix,Bestiary,Red Beasts captured in your Maps have a (40–60)% chance to gain a Modifier that provides a chance to not to be consumed when sacrificed at the Blood Altar,Red Beasts captured in your Maps have a #% chance to gain a Modifier that provides a chance to not to be consumed when sacrificed at the Blood Altar,40–60,,,,,,
Burial Idol,3x1,Suffix,Bestiary,Red Beasts in your Maps have (16–24)% chance to appear in Pairs,Red Beasts in your Maps have #% chance to appear in Pairs,16–24,,,,,,
Burial Idol,3x1,Suffix,Beyond,Beyond Demons in your Maps grant (20–30)% increased Experience,Beyond Demons in your Maps grant #% increased Experience,20–30,,,,,,
Burial Idol,3x1,Suffix,Beyond,Beyond Portals in your Maps have (25–35)% increased chance to spawn a Unique Boss,Beyond Portals in your Maps have #% increased chance to spawn a Unique Boss,25–35,,,,,,
Burial Idol,3x1,Suffix,Beyond,(20–25)% more Divination Cards found from Beyond Demons in your Maps that are followers of K'Tash,#% more Divination Cards found from Beyond Demons in your Maps that are followers of K'Tash,20–25,,,,,,
Burial Idol,3x1,Suffix,Beyond,(20–25)% more Basic Currency Items found from Beyond Demons in your Maps that are followers of Beidat,#% more Basic Currency Items found from Beyond Demons in your Maps that are followers of Beidat,20–25,,,,,,
Burial Idol,3x1,Suffix,Beyond,(20–25)% more Unique Items found from Beyond Demons in your Maps that are followers of Ghorr,#% more Unique Items found from Beyond Demons in your Maps that are followers of Ghorr,20–25,,,,,,
Burial Idol,3x1,Suffix,Blight,Blight Encounters in your Maps spawn (25–35)% more Non-Unique Monsters,Blight Encounters in your Maps spawn #% more Non-Unique Monsters,25–35,,,,,,
Burial Idol,3x1,Suffix,Blight,Oils found in your Maps have (20–25)% chance to be 1 tier higher,Oils found in your Maps have #% chance to be 1 tier higher,20–25,,,,,,
Burial Idol,3x1,Suffix,Blight,Blight Monsters in your Maps take (30–40)% increased Damage,Blight Monsters in your Maps take #% increased Damage,30–40,,,,,,
Burial Idol,3x1,Suffix,Breach,Breaches in your Maps have (35–45)% increased chance to contain a Boss,Breaches in your Maps have #% increased chance to contain a Boss,35–45,,,,,,
Burial Idol,3x1,Suffix,Breach,Breachstones dropped by Breach Bosses in your Maps have (3–5)% chance to be Flawless,Breachstones dropped by Breach Bosses in your Maps have #% chance to be Flawless,3–5,,,,,,
Burial Idol,3x1,Suffix,Breach,Breaches in your Maps open and close (6–10)% faster,Breaches in your Maps open and close #% faster,6-10,,,,,,
Burial Idol,3x1,Suffix,Breach,Breaches in your Maps open and close (20–30)% slower,Breaches in your Maps open and close #% slower,20-30,,,,,,
Burial Idol,3x1,Suffix,Breach,Breaches in your Maps have (10–15)% chance to contain a Hand of Xesht-Ula,Breaches in your Maps have #% chance to contain a Hand of Xesht-Ula,10–15,,,,,,
Burial Idol,3x1,Suffix,Breach,Breaches in your Maps have (8–12)% increased Monster density,Breaches in your Maps have #% increased Monster density,8–12,,,,,,
Burial Idol,3x1,Suffix,Exarch,(40–60)% chance to spawn a Searing Exarch Altar when the Influence of The Searing Exarch first appears in your Maps,#% chance to spawn a Searing Exarch Altar when the Influence of The Searing Exarch first appears in your Maps,40–60,,,,,,
Burial Idol,3x1,Suffix,Delirium,Delirium in your Maps increases (35–50)% faster with distance from the mirror,Delirium in your Maps increases #% faster with distance from the mirror,35–50,,,,,,
Burial Idol,3x1,Suffix,Delirium,Delirium Fog in your Maps lasts (10–15) additional seconds before dissipating,Delirium Fog in your Maps lasts # additional seconds before dissipating,10–15,,,,,,
Burial Idol,3x1,Suffix,Delirium,Delirium Rewards in your Maps have (8–12)% increased chance to give Delirium Orbs,Delirium Rewards in your Maps have #% increased chance to give Delirium Orbs,8–12,,,,,,
Burial Idol,3x1,Suffix,Delve,Voltaxic Sulphite Veins and Chests in your Maps have (4–6)% chance to contain double Sulphite,Voltaxic Sulphite Veins and Chests in your Maps have #% chance to contain double Sulphite,4–6,,,,,,
Burial Idol,3x1,Suffix,Delve,You Gain (30–40)% increased Damage per stack of Sulphite Intoxication.,You Gain #% increased Damage per stack of Sulphite Intoxication.,30–40,,,,,,
Burial Idol,3x1,Suffix,Shrine,Shrines in your Maps have (40–60)% chance to be guarded by an additional Pack of Monsters,Shrines in your Maps have #% chance to be guarded by an additional Pack of Monsters,40–60,,,,,,
Burial Idol,3x1,Suffix,Pack Size,Monster Packs Influenced by The Shaper in your Maps have (15–25)% increased Pack Size,Monster Packs Influenced by The Shaper in your Maps have #% increased Pack Size,15–25,,,,,,
Burial Idol,3x1,Suffix,Pack Size,Monster Packs Influenced by The Elder in your Maps have (15–25)% increased Pack Size,Monster Packs Influenced by The Elder in your Maps have #% increased Pack Size,15–25,,,,,,
Burial Idol,3x1,Suffix,Essence,Imprisoned Monsters in your Maps have (12–17)% chance to have 3 additional Essences,Imprisoned Monsters in your Maps have #% chance to have 3 additional Essences,12–17,,,,,,
Burial Idol,3x1,Suffix,Essence,Remnants in your Maps have (25–35)% chance to have an additional Suffix Modifier,Remnants in your Maps have #% chance to have an additional Suffix Modifier,25–35,,,,,,
Burial Idol,3x1,Suffix,Expedition,Expeditions in your Maps have (80–100)% increased chance to be led by Tujen,Expeditions in your Maps have #% increased chance to be led by Tujen,80–100,,,,,,
Burial Idol,3x1,Suffix,Expedition,Expeditions in your Maps have (50–60)% increased chance to be led by Dannig,Expeditions in your Maps have #% increased chance to be led by Dannig,50–60,,,,,,
Burial Idol,3x1,Suffix,Expedition,Expedition Monsters in your Maps spawn with an additional (6–10)% of Life missing,Expedition Monsters in your Maps spawn with an additional #% of Life missing,6–10,,,,,,
